story_id,lane,length,violation_count,categories,markers
1000,web,short,0,,
1000,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1000,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1000,kjv,long,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1000,web,long,0,,
1000,web,full,0,,
1001,kjv,full,0,,
1001,kjv,long,0,,
1001,kjv,short,0,,
1001,web,short,0,,
1001,web,long,0,,
1001,web,full,0,,
1002,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 0, need >= 3"
1002,web,full,4,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bwon['’]t\b;\byou['’]re\b
1002,web,long,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1002,web,short,1,WEB_CONTRACTION,\bdidn['’]t\b
1002,kjv,long,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 0, need >= 3"
1002,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1003,web,full,2,WEB_CONTRACTION,\bwasn['’]t\b;\bdon['’]t\b
1003,web,long,2,WEB_CONTRACTION,\bwasn['’]t\b;\bdon['’]t\b
1003,web,short,2,WEB_CONTRACTION,\bwasn['’]t\b;\bdon['’]t\b
1003,kjv,long,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1003,kjv,full,0,,
1003,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1005,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 0, need >= 3"
1005,kjv,long,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1005,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1005,web,short,0,,
1005,web,long,0,,
1005,web,full,0,,
1006,web,full,0,,
1006,web,long,0,,
1006,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1006,kjv,long,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1006,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 1, need >= 3"
1006,web,short,0,,
1007,web,short,2,WEB_CONTRACTION,\bdon['’]t\b;\bwon['’]t\b
1007,web,full,2,WEB_CONTRACTION,\bdon['’]t\b;\bwon['’]t\b
1007,web,long,2,WEB_CONTRACTION,\bdon['’]t\b;\bwon['’]t\b
1007,kjv,short,0,,
1007,kjv,long,0,,
1007,kjv,full,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1008,web,short,2,WEB_CONTRACTION,\bdon['’]t\b;\bhaven['’]t\b
1008,kjv,short,1,KJV_TOO_FEW_ARCHAIC_MARKERS,"found 2, need >= 3"
1008,kjv,long,0,,
1008,kjv,full,0,,
1008,web,full,2,WEB_CONTRACTION,\bdon['’]t\b;\bhaven['’]t\b
1008,web,long,2,WEB_CONTRACTION,\bdon['’]t\b;\bhaven['’]t\b
1016,kjv,full,0,,
1016,kjv,long,0,,
1016,web,short,0,,
1016,web,long,0,,
1016,web,full,0,,
1016,kjv,short,0,,
1017,kjv,short,0,,
1017,kjv,full,0,,
1017,kjv,long,0,,
1017,web,short,0,,
1017,web,long,0,,
1017,web,full,0,,
1018,kjv,short,0,,
1018,web,short,0,,
1018,web,full,0,,
1018,kjv,full,0,,
1019,web,full,0,,
1019,web,short,0,,
1019,kjv,short,0,,
1019,kjv,full,0,,
1020,kjv,full,0,,
1020,kjv,long,0,,
1020,kjv,short,0,,
1020,web,long,0,,
1020,web,full,0,,
1020,web,short,0,,
1021,web,short,0,,
1021,kjv,full,0,,
1021,kjv,long,0,,
1021,kjv,short,0,,
1021,web,long,0,,
1021,web,full,0,,
1022,web,full,0,,
1022,web,short,0,,
1022,kjv,short,0,,
1022,kjv,full,0,,
1023,kjv,short,0,,
1023,web,short,0,,
1023,web,full,0,,
1023,web,long,0,,
1023,kjv,long,0,,
1023,kjv,full,0,,
1032,kjv,full,0,,
1032,kjv,short,0,,
1032,web,short,0,,
1032,web,full,0,,
1033,web,short,0,,
1033,kjv,short,0,,
1033,kjv,full,0,,
1033,web,full,0,,
1034,web,short,0,,
1034,web,full,0,,
1034,kjv,short,0,,
1034,kjv,full,0,,
1035,web,full,0,,
1035,kjv,short,0,,
1035,kjv,full,0,,
1035,web,short,0,,
1036,kjv,full,0,,
1036,kjv,short,0,,
1036,web,short,0,,
1036,web,full,0,,
1037,kjv,full,0,,
